inspectionid,dbaname,akaname,license,facilitytype,risk,address,city,state,zip,inspectiondate,inspectiontype,results,latitude,longitude
44247,eat a pita,eat a pita,1222441,restaurant,risk 1 (high),3155 n halsted st ,chicago,il,60657,2010-01-05,complaint,pass,41.93944116,-87.64910277
44248,la gondola,la gondola,1336561,restaurant,risk 1 (high),2914 n ashland ave ,chicago,il,60657,2010-01-21,canvass,pass,41.93467889,-87.66862497
44249,azha restaurant inc.,azha restaurant,1334073,restaurant,risk 1 (high),960 w belmont ave ,chicago,il,60657,2010-01-21,canvass re-inspection,pass,41.94002688,-87.65381103
44250,saint joseph hospital,saint joseph hospital,1144381,hospital,risk 1 (high),2900 n lake shore dr ,chicago,il,60657,2010-02-09,canvass,pass,41.93440299,-87.63680584
44251,saint joseph hospital,saint joseph hospital,1144380,hospital,risk 1 (high),2900 n lake shore dr ,chicago,il,60657,2010-02-09,canvass,pass,41.93440299,-87.63680584
44252,chartwell's dining,chartwell's dining,1193131,restaurant,risk 1 (high),2250 n sheffield ave ,chicago,il,60614,2010-03-18,suspected food poisoning,pass,41.92323687,-87.65368543
44253,rocks lakeview,rocks lakeview,1875067,restaurant,risk 1 (high),3463-3465 n broadway ,chicago,il,60657,2010-04-01,canvass,pass w/ conditions,41.94497417,-87.64565976
44254,subway,subway,2026336,restaurant,risk 1 (high),5554 n clark st ,chicago,il,60640,2010-04-01,license re-inspection,pass,41.9833127,-87.66886836
44255,"tony's burrito mex, inc","tony's burrito mex, inc",1576687,restaurant,risk 1 (high),1957 w belmont ave ,chicago,il,60657,2010-05-05,complaint,fail,41.93946536,-87.67815712
44256,eat a pita,eat a pita,1222441,restaurant,risk 1 (high),3155 n halsted st ,chicago,il,60657,2010-05-05,complaint,pass w/ conditions,41.93944116,-87.64910277
44257,amundsen high school,amundsen hiigh school,46031,school,risk 1 (high),5110 n damen ave ,chicago,il,60625,2010-05-11,canvass,pass w/ conditions,41.97507922,-87.67952139
44258,jimmy johns sandwich shop,jimmy johns sandwich shop,1383444,restaurant,risk 1 (high),2336 w lawrence ave ,chicago,il,60625,2010-05-11,canvass,pass,41.96874385,-87.68793653
44259,northside college prep.,northside college prep,46061,school,risk 1 (high),5501 n kedzie ave ,chicago,il,60625,2010-05-12,canvass,pass,41.98135196,-87.70867192
44260,albany park campus/edison regional gifted ctr.,albany park campus/edison regional gifted ctr.,32011,school,risk 1 (high),4929 n sawyer st ,chicago,il,60625,2010-05-12,canvass,pass,41.9711433,-87.70962725
44261,walgreens #6270,walgreens #6270,2004388,grocery store,risk 3 (low),1001 w belmont ave ,chicago,il,60657,2010-05-17,license re-inspection,pass,41.93980098,-87.65416109
44262,new peking restaurant,new peking restaurant,31997,restaurant,risk 1 (high),3132 n broadway ,chicago,il,60657,2010-06-09,canvass,pass,41.93864794,-87.64449909
48212,el gran burrito,el gran burrito,40974,restaurant,risk 1 (high),5632 w north ave ,chicago,il,60639,2010-01-08,complaint,pass,41.9094746,-87.76676192
48213,restaurant el ranchito,restaurant el ranchito,1273737,restaurant,risk 1 (high),5959 w grand ave ,chicago,il,60639,2010-01-08,complaint,pass,41.92042652,-87.775499
48214,la panaderia central bakery,la panaderia central bakery,61169,bakery,risk 1 (high),4348 w armitage ave ,chicago,il,60639,2010-01-11,complaint,pass,41.91715968,-87.73587246
48215,golden crown restaurant,golden crown restaurant,2013539,restaurant,risk 1 (high),2341 n narragansett ave ,chicago,il,60639,2010-01-11,license re-inspection,fail,41.92309768,-87.78527866
48216,hanson park,hanson park,24461,school,risk 1 (high),5411 w fullerton ave ,chicago,il,60639,2010-01-13,canvass,pass,41.92392771,-87.76152094
48217,hanson park branch,hanson park branch,24462,school,risk 1 (high),2318 n lorel st ,chicago,il,60639,2010-01-13,canvass,pass,41.92283114,-87.75994375
48218,cielito lindo restaurant inc,cielito lindo restaurant inc,1336088,restaurant,risk 1 (high),5344 w fullerton ave ,chicago,il,60639,2010-01-13,canvass,pass,41.92416136,-87.76045394
48219,taqueria la fiesta,el taconazo la fiesta,1937437,restaurant,risk 1 (high),2701 n central ave ,chicago,il,60639,2010-01-25,canvass,pass,41.92950116,-87.76603642
48220,jorge prieto,dr. jorge prieto school,26771,school,risk 1 (high),2231 n central ave ,chicago,il,60639,2010-01-26,canvass,pass,41.92131717,-87.7657438
48221,taqueria la paz,taqueria la paz,1953320,restaurant,risk 1 (high),5134 w grand ave ,chicago,il,60639,2010-01-26,canvass,fail,41.91697889,-87.75474306
48222,burbank,burbank elementary school,22401,school,risk 1 (high),2035 n mobile ,chicago,il,60639,2010-01-28,canvass,fail,41.91759334,-87.78266267
48223,el guanaco 2,el guanaco 2,1514780,restaurant,risk 1 (high),6345 w grand ave ,chicago,il,60639,2010-01-28,canvass,pass,41.92226642,-87.78461492
48224,joe's barbecue & fish # 2,joe's barbecue & fish # 2,2017606,restaurant,risk 1 (high),5931 w north ave ,chicago,il,60639,2010-02-08,license,fail,41.90915796,-87.77445019
48225,shriners hospitals for children,shriners hospitals for children,15783,hospital,risk 1 (high),2211 n oak park ave ,chicago,il,60707,2010-03-02,canvass,pass,41.92033617,-87.7949943
48226,shriners hospitals for children,shriners hospitals for children,15784,hospital,risk 1 (high),2211 n oak park ave ,chicago,il,60707,2010-03-02,canvass,pass,41.92033617,-87.7949943
48227,mc donald's,mc donald's,1933100,restaurant,risk 2 (medium),5133 w north ave ,chicago,il,60639,2010-03-10,canvass,pass,41.90940466,-87.75476387
48228,taste of joi restaurant cafe b,taste  of joi restaurant,2021735,restaurant,risk 1 (high),5933 w north ave ,chicago,il,60639,2010-03-19,license re-inspection,pass,41.909157,-87.77452778
48229,las islas marias,las islas marias,1095992,restaurant,risk 1 (high),4770 w grand ave ,chicago,il,60639,2010-03-19,canvass,pass,41.91399921,-87.74586369
48230,pizzaro's,pizzaro's,2032324,restaurant,risk 1 (high),6924 w grand ave ,chicago,il,60707,2010-05-06,license,fail,41.92367998,-87.79876127
52234,cafe 608,cafe 608,2013328,restaurant,risk 1 (high),608 w barry ave ,chicago,il,60657,2010-01-04,license re-inspection,pass,41.93800688,-87.64475457
52235,lake view (h/s),lake view (h/s),46211,school,risk 1 (high),4015 n ashland ave ,chicago,il,60613,2010-01-22,canvass,fail,41.95478361,-87.66891643
52236,lakeview subway,lakeview subway,1305059,restaurant,risk 1 (high),3952 n ashland ave ,chicago,il,60613,2010-01-22,canvass re-inspection,pass w/ conditions,41.953978,-87.66918631
52237,disney magnet,disney magnet,29401,school,risk 1 (high),4140 n marine dr ,chicago,il,60613,2010-02-18,canvass,fail,41.95680712,-87.6461175
52238,disney magnet,disney magnet,29401,school,risk 1 (high),4140 n marine dr ,chicago,il,60613,2010-03-05,consultation,fail,41.95680712,-87.6461175
52239,disney magnet,disney magnet,29401,school,risk 1 (high),4140 n marine dr ,chicago,il,60613,2010-03-09,canvass re-inspection,pass,41.95680712,-87.6461175
52240,lakeside boarding home,lakeside boarding home,1515987,long term care,risk 1 (high),6330 n sheridan rd ,chicago,il,60660,2010-03-10,canvass re-inspection,fail,41.99725812,-87.65575405
52241,eden  supportive  living,eden  supportive  living,74931,long term care,risk 1 (high),4131 n sheridan rd ,chicago,il,60613,2010-03-19,canvass re-inspection,pass,41.95746872,-87.65448098
52242,inter-american,inter-american,29191,school,risk 1 (high),851 w waveland ,chicago,il,60613,2010-03-23,canvass,pass w/ conditions,41.94897646,-87.65153745
52243,popeyes #2857,popeyes,12630,restaurant,risk 1 (high),1600 w irving park rd ,chicago,il,60613,2010-03-31,canvass,pass w/ conditions,41.9543993,-87.66911287
52244,peoples church of chicago,peoples church of chicago,0,soup kitchen,risk 1 (high),941 w lawrence ave ,chicago,il,60640,2010-04-14,complaint,fail,41.96899004,-87.65405445
52245,i-cafe,i-cafe,1767227,restaurant,risk 1 (high),1814 w irving park rd ,chicago,il,60613,2010-04-16,canvass,fail,41.95431724,-87.67483357
52246,"children's creative center, inc.","children's creative center, inc.",77784,daycare (2 - 6 years),risk 1 (high),1911 w irving park rd ,chicago,il,60613,2010-04-19,license,fail,41.95407205,-87.67682369
52247,peoples church of chicago,peoples church of chicago,0,soup kitchen,risk 1 (high),941 w lawrence ave ,chicago,il,60640,2010-04-21,complaint re-inspection,pass,41.96899004,-87.65405445
52248,apple tree learning center,apple tree learning center,66696,daycare (2 - 6 years),risk 1 (high),1733 w irving park rd ,chicago,il,60613,2010-04-23,license,pass,41.95412784,-87.67277541
52249,park view montessori school #3,park view montessori school #3,44217,daycare (2 - 6 years),risk 1 (high),640 w irving park rd ,chicago,il,60613,2010-04-26,license,fail,41.95472485,-87.64658231
52250,kc's academy of early childhood,kc's academy of early childhood,1650257,daycare (2 - 6 years),risk 1 (high),835-837 w sheridan rd ,chicago,il,60613,2010-04-27,license re-inspection,pass,41.95261657,-87.65104544
