tid,attribute,correct_val
0,inspectionid,44247
0,dbaname,eat a pita
0,akaname,eat a pita
0,license,1222441
0,facilitytype,restaurant
0,risk,risk 1 (high)
0,address,3155 n halsted st
0,city,chicago
0,state,il
0,zip,60657
0,inspectiondate,2010-01-05
0,inspectiontype,complaint
0,results,pass
0,latitude,41.93944116
0,longitude,-87.64910277
1,inspectionid,44248
1,dbaname,la gondola
1,akaname,la gondola
1,license,1336561
1,facilitytype,restaurant
1,risk,risk 1 (high)
1,address,2914 n ashland ave
1,city,chicago
1,state,il
1,zip,60657
1,inspectiondate,2010-01-21
1,inspectiontype,canvass
1,results,pass
1,latitude,41.93467889
1,longitude,-87.66862497
2,inspectionid,44249
2,dbaname,azha restaurant inc.
2,akaname,azha restaurant
2,license,1334073
2,facilitytype,restaurant
2,risk,risk 1 (high)
2,address,960 w belmont ave
2,city,chicago
2,state,il
2,zip,60657
2,inspectiondate,2010-01-21
2,inspectiontype,canvass re-inspection
2,results,pass
2,latitude,41.94002688
2,longitude,-87.65381103
3,inspectionid,44250
3,dbaname,saint joseph hospital
3,akaname,saint joseph hospital
3,license,1144381
3,facilitytype,hospital
3,risk,risk 1 (high)
3,address,2900 n lake shore dr
3,city,chicago
3,state,il
3,zip,60657
3,inspectiondate,2010-02-09
3,inspectiontype,canvass
3,results,pass
3,latitude,41.93440299
3,longitude,-87.63680584
4,inspectionid,44251
4,dbaname,saint joseph hospital
4,akaname,saint joseph hospital
4,license,1144380
4,facilitytype,hospital
4,risk,risk 1 (high)
4,address,2900 n lake shore dr
4,city,chicago
4,state,il
4,zip,60657
4,inspectiondate,2010-02-09
4,inspectiontype,canvass
4,results,pass
4,latitude,41.93440299
4,longitude,-87.63680584
5,inspectionid,44252
5,dbaname,chartwell's dining
5,akaname,chartwell's dining
5,license,1193131
5,facilitytype,restaurant
5,risk,risk 1 (high)
5,address,2250 n sheffield ave
5,city,chicago
5,state,il
5,zip,60614
5,inspectiondate,2010-03-18
5,inspectiontype,suspected food poisoning
5,results,pass
5,latitude,41.92323687
5,longitude,-87.65368543
6,inspectionid,44253
6,dbaname,rocks lakeview
6,akaname,rocks lakeview
6,license,1875067
6,facilitytype,restaurant
6,risk,risk 1 (high)
6,address,3463-3465 n broadway
6,city,chicago
6,state,il
6,zip,60657
6,inspectiondate,2010-04-01
6,inspectiontype,canvass
6,results,pass w/ conditions
6,latitude,41.94497417
6,longitude,-87.64565976
7,inspectionid,44254
7,dbaname,subway
7,akaname,subway
7,license,2026336
7,facilitytype,restaurant
